,Round,Time,Color,Move,Black,White,Depth,Cost,Score
2033,21,16.002, X ,"(F, 4)",10,15,6,min,-5.0
2034,22,18.049, O ,"(G, 4)",7,19,6,hybrid,12.0
2035,23,15.646, X ,"(C, 5)",11,16,6,min,-5.0
2036,24,10.902, O ,"(B, 4)",8,20,6,hybrid,12.0
2037,25,16.631, X ,"(B, 6)",10,19,6,min,-9.0
2038,26,11.058, O ,"(F, 6)",9,21,6,hybrid,12.0
2039,27,16.991, X ,"(A, 5)",11,20,6,min,-9.0
2040,28,13.801, O ,"(D, 7)",8,24,6,hybrid,16.0
2041,29,11.311, X ,"(H, 3)",11,22,6,min,-11.0
2042,30,7.789, O ,"(H, 4)",10,24,6,hybrid,14.0
2043,31,14.675, X ,"(A, 4)",12,23,6,min,-11.0
2044,32,6.387, O ,"(A, 3)",11,25,6,hybrid,14.0
2045,33,12.908, X ,"(G, 5)",16,21,6,min,-5.0
2046,34,15.927, O ,"(C, 7)",14,24,6,hybrid,10.0
2047,35,13.882, X ,"(H, 5)",17,22,6,min,-5.0
2048,36,8.136, O ,"(H, 6)",14,26,6,hybrid,12.0
2049,37,16.558, X ,"(G, 6)",20,21,6,min,-1.0
2050,38,9.461, O ,"(E, 7)",17,25,6,hybrid,8.0
2051,39,10.1, X ,"(F, 7)",19,24,6,min,-5.0
2052,40,6.536, O ,"(F, 8)",16,28,6,hybrid,12.0
2053,41,5.581, X ,"(E, 8)",20,25,6,min,-5.0
2054,42,4.835, O ,"(A, 6)",15,31,6,hybrid,16.0
2055,43,2.762, X ,"(C, 8)",21,26,6,min,-5.0
2056,44,1.54, O ,"(H, 2)",18,30,6,hybrid,12.0
2057,45,1.516, X ,"(G, 7)",22,27,6,min,-5.0
2058,46,1.178, O ,"(H, 7)",21,29,6,hybrid,8.0
2059,47,1.032, X ,"(A, 7)",23,28,6,min,-5.0
2060,48,0.567, O ,"(A, 8)",22,30,6,hybrid,8.0
2061,49,0.426, X ,"(G, 8)",24,29,6,min,-5.0
2062,50,0.48, O ,"(D, 8)",18,36,6,hybrid,18.0
2063,51,0.385, X ,"(B, 8)",21,34,6,min,-13.0
2064,52,0.144, O ,"(H, 8)",17,39,6,hybrid,22.0
2065,53,0.062, X ,"(G, 1)",23,34,6,min,-11.0
2066,54,0.051, O ,"(B, 2)",19,39,6,hybrid,20.0
2067,55,0.015, X ,"(A, 2)",25,34,6,min,-9.0
2068,56,0.013, O ,"(A, 1)",23,37,6,hybrid,14.0
2069,57,0.005, X ,"(B, 1)",25,36,6,min,-11.0
2070,58,0.005, O ,"(H, 1)",19,43,6,hybrid,24.0
2071,59,0.001, X ,"(B, 7)",23,40,6,min,-17.0
2072,60,0.0, O ,"(G, 2)",17,47,6,hybrid,30.0
2073,0,0.0,,,2,2,6,,
2074,1,0.382, X ,"(E, 3)",4,1,6,hybrid,3.0
2075,2,0.465, O ,"(D, 3)",3,3,6,max,0.0
2076,3,0.598, X ,"(C, 4)",5,2,6,hybrid,3.0
2077,4,1.267, O ,"(B, 3)",4,4,6,max,0.0
2078,5,1.554, X ,"(B, 4)",6,3,6,hybrid,3.0
2079,6,1.979, O ,"(F, 5)",4,6,6,max,2.0
2080,7,3.225, X ,"(D, 2)",6,5,6,hybrid,1.0
2081,8,2.144, O ,"(D, 1)",3,9,6,max,6.0
2082,9,1.895, X ,"(C, 1)",5,8,6,hybrid,-3.0
2083,10,3.284, O ,"(A, 4)",3,11,6,max,8.0
2084,11,1.182, X ,"(C, 3)",5,10,6,hybrid,-5.0
2085,12,1.831, O ,"(F, 3)",2,14,6,max,12.0
2086,13,1.178, X ,"(F, 4)",4,13,6,hybrid,-9.0
2087,14,1.897, O ,"(E, 2)",3,15,6,max,12.0
2088,15,2.312, X ,"(E, 1)",5,14,6,hybrid,-9.0
2089,16,1.773, O ,"(G, 3)",4,16,6,max,12.0
2090,17,1.556, X ,"(F, 2)",6,15,6,hybrid,-9.0
2091,18,1.337, O ,"(F, 1)",4,18,6,max,14.0
2092,19,4.558, X ,"(G, 4)",7,16,6,hybrid,-9.0
2093,20,3.334, O ,"(H, 3)",6,18,6,max,12.0
2094,21,7.779, X ,"(H, 4)",9,16,6,hybrid,-7.0
2095,22,2.892, O ,"(H, 5)",8,18,6,max,10.0
2096,23,6.247, X ,"(A, 3)",13,14,6,hybrid,-1.0
2097,24,2.325, O ,"(C, 2)",10,18,6,max,8.0
2098,25,5.754, X ,"(G, 5)",13,16,6,hybrid,-3.0
2099,26,2.223, O ,"(B, 1)",10,20,6,max,10.0
2100,27,5.867, X ,"(C, 6)",13,18,6,hybrid,-5.0
2101,28,7.144, O ,"(H, 6)",9,23,6,max,14.0
2102,29,4.352, X ,"(D, 6)",12,21,6,hybrid,-9.0
2103,30,3.01, O ,"(C, 5)",10,24,6,max,14.0
2104,31,3.806, X ,"(A, 5)",12,23,6,hybrid,-11.0
2105,32,3.031, O ,"(E, 7)",11,25,6,max,14.0
2106,33,3.756, X ,"(B, 6)",15,22,6,hybrid,-7.0
2107,34,2.867, O ,"(C, 7)",13,25,6,max,12.0
2108,35,4.968, X ,"(B, 5)",16,23,6,hybrid,-7.0
2109,36,3.485, O ,"(A, 6)",11,29,6,max,18.0
2110,37,5.61, X ,"(G, 6)",14,27,6,hybrid,-13.0
2111,38,4.092, O ,"(F, 6)",8,34,6,max,26.0
2112,39,3.469, X ,"(E, 6)",11,32,6,hybrid,-21.0
2113,40,2.489, O ,"(F, 7)",10,34,6,max,24.0
2114,41,3.412, X ,"(D, 7)",16,29,6,hybrid,-13.0
2115,42,2.911, O ,"(A, 2)",13,33,6,max,20.0
2116,43,3.838, X ,"(C, 8)",15,32,6,hybrid,-17.0
2117,44,3.042, O ,"(D, 8)",10,38,6,max,28.0
2118,45,2.304, X ,"(E, 8)",14,35,6,hybrid,-21.0
2119,46,1.457, O ,"(F, 8)",13,37,6,max,24.0
2120,47,1.168, X ,"(G, 8)",16,35,6,hybrid,-19.0
2121,48,0.609, O ,"(B, 7)",15,37,6,max,22.0
2122,49,0.535, X ,"(A, 8)",19,34,6,hybrid,-15.0
2123,50,0.539, O ,"(B, 8)",18,36,6,max,18.0
2124,51,0.21, X ,"(A, 7)",24,31,6,hybrid,-7.0
2125,52,0.135, O ,"(H, 2)",23,33,6,max,10.0
2126,53,0.093, X ,"(A, 1)",29,28,6,hybrid,1.0
2127,54,0.033, O ,"(H, 8)",24,34,6,max,10.0
2128,55,0.019, X ,"(G, 7)",28,31,6,hybrid,-3.0
2129,56,0.002, O ,"(H, 7)",23,37,6,max,14.0
2130,57,0.001, X ,"(G, 2)",27,34,6,hybrid,-7.0
2131,58,0.001, O ,"(G, 1)",23,39,6,max,16.0
2132,59,0.0, X ,"(B, 2)",27,36,6,hybrid,-9.0
2133,60,0.0, X ,"(H, 1)",35,29,6,hybrid,6.0
2134,0,0.0,,,2,2,6,,
2135,1,0.481, X ,"(E, 3)",4,1,6,hybrid,3.0
2136,2,0.537, O ,"(F, 5)",3,3,6,min,0.0
2137,3,0.885, X ,"(E, 6)",5,2,6,hybrid,3.0
