,Round,Time,Increasing,Player,Score,Depth
336,31,0.094,False,First,-15,3
337,32,0.063,True,First,-12,3
338,33,0.055,False,First,-17,3
339,34,0.057,True,First,-12,3
340,35,0.069,False,First,-15,3
341,36,0.073,True,First,-10,3
342,37,0.065,False,First,-15,3
343,38,0.065,True,First,-12,3
344,39,0.053,False,First,-19,3
345,40,0.054,True,First,-14,3
346,41,0.049,False,First,-17,3
347,42,0.047,True,First,-12,3
348,43,0.017,False,First,-19,3
349,44,0.046,True,First,-10,3
350,45,0.045,False,First,-19,3
351,46,0.291,True,First,-6,3
352,47,0.023,False,First,-9,3
353,48,0.5,True,First,-4,3
354,49,0.023,False,First,-9,3
355,50,0.084,True,First,0,3
356,51,0.015,False,First,-3,3
357,52,0.071,True,First,8,3
358,53,0.009,False,First,-1,3
359,54,0.024,True,First,10,3
360,55,0.003,False,First,-3,3
361,56,0.008,True,First,0,3
362,57,0.001,False,First,-9,3
363,58,0.001,True,First,16,3
364,59,0.0,False,First,13,3
365,60,0.0,True,First,20,3
366,0,0.0,,Second,0,4
367,1,0.039,True,Second,3,4
368,2,0.038,False,Second,0,4
369,3,0.066,True,Second,3,4
370,4,0.068,False,Second,0,4
371,5,0.113,True,Second,3,4
372,6,0.081,False,Second,-2,4
373,7,0.265,True,Second,1,4
374,8,0.232,False,Second,-6,4
375,9,0.161,True,Second,-1,4
376,10,0.234,False,Second,-4,4
377,11,0.175,True,Second,-1,4
378,12,0.239,False,Second,-4,4
379,13,0.161,True,Second,1,4
380,14,0.138,False,Second,-6,4
381,15,0.273,True,Second,-3,4
382,16,0.336,False,Second,-6,4
383,17,0.289,True,Second,-1,4
384,18,0.282,False,Second,-6,4
385,19,0.299,True,Second,-3,4
386,20,0.125,False,Second,-10,4
387,21,0.247,True,Second,-5,4
388,22,0.432,False,Second,-8,4
389,23,0.404,True,Second,-3,4
390,24,0.182,False,Second,-8,4
391,25,0.313,True,Second,-5,4
392,26,0.249,False,Second,-12,4
393,27,0.558,True,Second,-7,4
394,28,0.677,False,Second,-10,4
395,29,0.587,True,Second,-7,4
396,30,0.554,False,Second,-16,4
397,31,0.417,True,Second,-13,4
398,32,0.542,False,Second,-16,4
399,33,0.496,True,Second,-13,4
400,34,0.445,False,Second,-24,4
401,35,0.15,True,Second,-21,4
402,36,0.23,False,Second,-28,4
403,37,0.192,True,Second,-21,4
404,38,0.294,False,Second,-24,4
405,39,0.274,True,Second,-19,4
406,40,0.148,False,Second,-26,4
407,41,0.171,True,Second,-15,4
408,42,0.181,False,Second,-20,4
409,43,0.247,True,Second,-7,4
410,44,0.27,False,Second,-18,4
411,45,0.222,True,Second,-13,4
412,46,0.131,False,Second,-22,4
413,47,1.282,True,Second,-13,4
414,48,0.097,False,Second,-16,4
415,49,0.494,True,Second,-9,4
416,50,0.037,False,Second,-12,4
417,51,0.208,True,Second,-1,4
418,52,0.025,False,Second,-6,4
419,53,0.084,True,Second,-3,4
420,54,0.027,False,Second,-14,4
421,55,0.089,True,Second,-3,4
422,56,0.014,False,Second,-16,4
423,57,0.006,True,Second,-1,4
424,58,0.002,False,Second,-4,4
425,59,0.0,True,Second,1,4
426,60,0.0,False,Second,-4,4
427,0,0.0,,First,0,4
428,1,0.042,False,First,-3,4
429,2,0.039,True,First,0,4
430,3,0.067,False,First,-3,4
431,4,0.067,True,First,0,4
432,5,0.097,False,First,-3,4
433,6,0.081,True,First,2,4
434,7,0.262,False,First,-1,4
435,8,0.215,True,First,6,4
436,9,0.173,False,First,1,4
437,10,0.22,True,First,4,4
438,11,0.184,False,First,1,4
439,12,0.235,True,First,4,4
440,13,0.159,False,First,-1,4
441,14,0.15,True,First,6,4
